id,source_name,external_id,category,title,url,reward_amount,reward_currency,reward_evidence,open_date,close_date,status,eligibility,kyc_required,capital_required,candidate_score,verification_status
69,Grants.gov API,363066,grant,EARLY STAGE INNOVATIONS (ESI26),https://www.grants.gov/search-results-detail/363066,,USD,,07/06/2026,08/13/2026,posted,,1,0,85.0,staged
215,Grants.gov API,300997,grant,EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC),https://www.grants.gov/search-results-detail/300997,,USD,,02/22/2018,,posted,,1,0,85.0,staged
107,Grants.gov API,362971,grant,FY 2026 CN Technology Innovation Grant for Child and Adult Care Food Program Integrity,https://www.grants.gov/search-results-detail/362971,,USD,,06/25/2026,07/31/2026,posted,,1,0,85.0,staged
202,Grants.gov API,356605,grant,FY25 Long Range Broad Agency Announcement (BAA) for Navy and Marine Corps Science and Technology,https://www.grants.gov/search-results-detail/356605,,USD,,10/01/2024,09/30/2026,posted,,1,0,85.0,staged
3,Grants.gov API,363121,grant,Freedom250 Advancing U.S. Artificial Intelligence Leadership in Algeria,https://www.grants.gov/search-results-detail/363121,,USD,,07/09/2026,08/10/2026,posted,,1,0,85.0,staged
234,Grants.gov API,360664,grant,NSF National Innovation Corps Teams (NSF National I-Corps (TM) Teams) program,https://www.grants.gov/search-results-detail/360664,,USD,,09/26/2025,,posted,,1,0,85.0,staged
134,Grants.gov API,363010,grant,National Cybersecurity Preparedness Consortium,https://www.grants.gov/search-results-detail/363010,,USD,,07/01/2026,07/31/2026,posted,,1,0,85.0,staged
10,Grants.gov API,362903,grant,"Prosperity through Partnership: Catalyzing U.S.-Algerian Collaboration in Innovation, Commerce and English Language",https://www.grants.gov/search-results-detail/362903,,USD,,06/22/2026,08/08/2026,posted,,1,0,85.0,staged
36,Grants.gov API,363179,grant,Public Wireless Supply Chain Innovation Fund Grant Program &ndash; Solutions for AI-Native RAN,https://www.grants.gov/search-results-detail/363179,,USD,,07/14/2026,09/09/2026,posted,,1,0,85.0,staged
192,Grants.gov API,360954,grant,"Space Technology Research, Development, Demonstration, and Infusion (SpaceTech REDDI-2026)",https://www.grants.gov/search-results-detail/360954,,USD,,12/09/2025,,posted,,1,0,85.0,staged
267,Grants.gov API,363645,grant,"University-led Networks for Innovation, Technology, and Expertise (UNITE)",https://www.grants.gov/search-results-detail/363645,,USD,,08/18/2026,09/17/2026,posted,,1,0,85.0,staged
481,Immunefi,cosmos,authorized_bug_bounty,Cosmos,https://immunefi.com/bug-bounty/cosmos/information/,50000.0,USD,"Maximum Bounty $50,000",,,active,Authorized program; inspect scope before testing.,1,0,83.0,staged
242,Immunefi,immunefi,authorized_bug_bounty,Immunefi,https://immunefi.com/bug-bounty/immunefi/information/,50000.0,USD,"bounty Solidity Maximum Bounty $50,000",,,active,Authorized program; inspect scope before testing.,1,0,83.0,staged
246,Immunefi,thegraph,authorized_bug_bounty,The Graph,https://immunefi.com/bug-bounty/thegraph/information/,50000.0,USD,"Maximum Bounty $50,000",,,active,Authorized program; inspect scope before testing.,1,0,83.0,staged
241,Immunefi,hedera,authorized_bug_bounty,Hedera,https://immunefi.com/bug-bounty/hedera/information/,30000.0,USD,"Maximum Bounty $30,000",,,active,Authorized program; inspect scope before testing.,1,0,83.0,staged
404,Grants.gov API,362581,grant,Academic Career Excellence (ACE) Award (K32 Independent Clinical Trial Not Allowed),https://www.grants.gov/search-results-detail/362581,,USD,,05/27/2026,07/12/2029,posted,,1,0,83.0,staged
396,Grants.gov API,359202,grant,Addressing Methodological Challenges with Clinical Trials of Rapid-Acting Psychotropic Interventional Drugs (RAPIDs) (R01 Clinical Trial Required),https://www.grants.gov/search-results-detail/359202,,USD,,04/29/2026,10/11/2026,posted,,1,0,83.0,staged
