file,category,functions,classes,imports,size_bytes
.venv\Lib\site-packages\pip\_internal\vcs\subversion.py,other,16,1,8,11735
.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py,other,44,5,11,22440
.venv\Lib\site-packages\pip\_internal\wheel_builder.py,other,11,0,23,11799
.venv\Lib\site-packages\pip\_vendor\__init__.py,other,1,0,4,4873
.venv\Lib\site-packages\pip\_vendor\cachecontrol\__init__.py,other,0,0,4,677
.venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py,other,4,0,10,1737
.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py,adapter,5,1,14,6348
.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py,other,10,3,4,1953
.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__init__.py,other,0,0,2,303
.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py,other,13,3,11,5399
.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py,other,6,1,5,1386
.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py,other,11,1,14,18576
.venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py,other,6,1,5,4291
.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py,other,11,4,7,4881
.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py,other,5,1,7,5163
.venv\Lib\site-packages\pip\_vendor\cachecontrol\wrapper.py,other,1,0,9,1417
.venv\Lib\site-packages\pip\_vendor\certifi\__init__.py,other,0,0,1,94
.venv\Lib\site-packages\pip\_vendor\certifi\__main__.py,other,0,0,2,255
.venv\Lib\site-packages\pip\_vendor\certifi\core.py,other,8,0,7,4486
.venv\Lib\site-packages\pip\_vendor\distlib\__init__.py,other,3,2,2,625
.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,other,81,10,59,41467
.venv\Lib\site-packages\pip\_vendor\distlib\database.py,other,74,7,16,51160
.venv\Lib\site-packages\pip\_vendor\distlib\index.py,other,18,1,14,20797
.venv\Lib\site-packages\pip\_vendor\distlib\locators.py,other,58,11,17,51026
.venv\Lib\site-packages\pip\_vendor\distlib\manifest.py,other,13,1,9,14168
.venv\Lib\site-packages\pip\_vendor\distlib\markers.py,other,7,1,7,5164
.venv\Lib\site-packages\pip\_vendor\distlib\metadata.py,other,55,6,11,38724
.venv\Lib\site-packages\pip\_vendor\distlib\resources.py,other,34,6,13,10820
.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py,other,18,1,12,18608
.venv\Lib\site-packages\pip\_vendor\distlib\util.py,other,123,19,28,66682
.venv\Lib\site-packages\pip\_vendor\distlib\version.py,other,54,10,4,23727
.venv\Lib\site-packages\pip\_vendor\distlib\wheel.py,other,39,3,25,43979
.venv\Lib\site-packages\pip\_vendor\distro\__init__.py,other,0,0,1,981
.venv\Lib\site-packages\pip\_vendor\distro\__main__.py,other,0,0,1,64
.venv\Lib\site-packages\pip\_vendor\distro\distro.py,other,57,4,12,49430
.venv\Lib\site-packages\pip\_vendor\idna\__init__.py,other,0,0,3,868
.venv\Lib\site-packages\pip\_vendor\idna\codec.py,other,5,5,4,3422
.venv\Lib\site-packages\pip\_vendor\idna\compat.py,other,3,0,2,316
.venv\Lib\site-packages\pip\_vendor\idna\core.py,other,18,4,7,13239
.venv\Lib\site-packages\pip\_vendor\idna\idnadata.py,other,0,0,0,78306
.venv\Lib\site-packages\pip\_vendor\idna\intranges.py,other,4,0,2,1898
.venv\Lib\site-packages\pip\_vendor\idna\package_data.py,other,0,0,0,21
.venv\Lib\site-packages\pip\_vendor\idna\uts46data.py,other,82,0,1,239289
